Geographic Area Name,Geography,Total!!Estimate!!Population 16 years and over,In labor force!!Estimate!!Population 16 years and over,Employed!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 16 years and over,Total!!Estimate!!AGE!!16 to 19 years,In labor force!!Estimate!!AGE!!16 to 19 years,Employed!!Estimate!!AGE!!16 to 19 years,Unemployment rate!!Estimate!!AGE!!16 to 19 years,Total!!Estimate!!AGE!!20 to 24 years,In labor force!!Estimate!!AGE!!20 to 24 years,Employed!!Estimate!!AGE!!20 to 24 years,Unemployment rate!!Estimate!!AGE!!20 to 24 years,Total!!Estimate!!AGE!!25 to 44 years,In labor force!!Estimate!!AGE!!25 to 44 years,Employed!!Estimate!!AGE!!25 to 44 years,Unemployment rate!!Estimate!!AGE!!25 to 44 years,Total!!Estimate!!AGE!!45 to 54 years,In labor force!!Estimate!!AGE!!45 to 54 years,Employed!!Estimate!!AGE!!45 to 54 years,Unemployment rate!!Estimate!!AGE!!45 to 54 years,Total!!Estimate!!AGE!!55 to 64 years,In labor force!!Estimate!!AGE!!55 to 64 years,Employed!!Estimate!!AGE!!55 to 64 years,Unemployment rate!!Estimate!!AGE!!55 to 64 years,Total!!Estimate!!AGE!!65 to 74 years,In labor force!!Estimate!!AGE!!65 to 74 years,Employed!!Estimate!!AGE!!65 to 74 years,Unemployment rate!!Estimate!!AGE!!65 to 74 years,Total!!Estimate!!AGE!!75 years and over,In labor force!!Estimate!!AGE!!75 years and over,Employed!!Estimate!!AGE!!75 years and over,Unemployment rate!!Estimate!!AGE!!75 years and over,Total!!Estimate!!Population 20 to 64 years,In labor force!!Estimate!!Population 20 to 64 years,Employed!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 20 to 64 years,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,In labor force!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Employed!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Unemployment rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level
"Greenville-Anderson-Mauldin, SC",310M200US24860,670011,61.3,55.5,9.3,48151,36.4,26.0,28.5,63040,70.5,59.6,15.2,214749,81.6,74.4,8.6,118347,77.1,71.9,6.7,104476,61.0,57.2,6.3,70471,22.1,20.3,8.1,50777,5.6,5.3,6.2,500612,74.8,68.4,8.5,77012,51.0,35.0,31.4
"Guayama, PR",310M200US25020,64939,38.3,29.1,23.9,5151,13.7,4.2,69.4,5858,49.2,25.0,49.2,21498,59.6,46.5,21.9,10510,52.9,43.5,17.8,9836,23.4,21.1,9.8,7306,6.0,5.8,3.0,4780,2.8,2.8,0.0,47702,49.4,38.0,23.1,22372,36.8,20.1,45.3
"Gulfport-Biloxi-Pascagoula, MS",310M200US25060,296853,62.3,54.0,10.1,20169,39.1,24.9,26.5,26593,77.9,57.1,17.1,99087,81.6,71.0,9.8,53966,76.9,70.9,7.4,46817,57.5,53.2,7.4,29767,20.1,19.3,3.6,20454,5.3,4.8,9.0,226463,75.0,65.6,9.6,36796,52.3,35.8,31.3
"Hagerstown-Martinsburg, MD-WV",310M200US25180,202856,64.1,57.5,10.0,12222,49.9,36.1,27.7,15449,77.5,63.0,18.0,68608,79.7,72.4,8.6,38824,80.1,73.9,7.7,32284,62.7,57.9,7.8,20048,25.8,23.6,8.3,15421,5.4,5.2,2.8,155165,76.0,68.8,9.2,17685,55.2,34.6,37.4
"Hammond, LA",310M200US25220,96438,62.0,54.2,12.5,7648,40.3,23.7,41.2,10463,77.6,64.9,16.3,32145,82.1,71.9,12.3,16134,72.5,67.7,6.3,14993,53.7,49.0,8.6,9040,21.2,19.3,8.8,6015,8.2,8.1,1.0,73735,73.6,65.4,11.1,13787,51.3,32.9,35.9
"Hanford-Corcoran, CA",310M200US25260,113795,55.8,44.8,14.2,8607,33.4,17.8,41.6,13270,66.7,45.9,19.3,46186,66.5,53.3,13.1,19499,60.3,52.3,11.8,13392,54.8,49.3,10.1,7428,21.5,20.8,3.3,5413,7.0,6.7,4.5,92347,63.5,51.5,13.3,14348,53.1,33.6,36.4
"Harrisburg-Carlisle, PA",310M200US25420,448755,65.7,61.0,6.8,29958,46.5,36.5,21.4,35800,75.8,65.6,13.5,140567,85.4,79.7,6.2,81736,83.4,79.6,4.3,76106,66.8,63.6,4.7,45286,25.9,24.4,6.0,39302,7.1,7.1,0.8,334209,79.6,74.5,6.1,34153,52.6,37.7,28.2
"Harrisonburg, VA",310M200US25500,105113,62.0,58.0,6.3,11929,34.8,29.1,16.4,17491,58.4,53.1,8.8,29479,83.7,78.2,6.3,15374,85.7,81.4,4.7,13772,71.3,69.2,3.0,8892,29.4,28.8,1.8,8176,6.2,6.0,2.8,76116,76.1,71.5,5.8,15061,46.3,38.9,15.9
"Hartford-West Hartford-East Hartford, CT",310M200US25540,985879,67.7,61.3,9.4,70830,45.2,33.6,25.6,83680,75.5,64.1,15.0,299590,86.3,78.5,8.9,189185,85.0,79.0,7.0,160452,73.1,68.0,6.9,95798,31.4,29.0,7.5,86344,6.2,5.7,6.7,732907,81.9,74.7,8.6,71268,54.1,33.8,37.5
"Hattiesburg, MS",310M200US25620,114510,62.4,54.9,10.9,8847,36.6,23.1,36.8,14861,74.5,62.4,15.8,39709,81.6,72.5,9.6,18226,74.3,67.7,7.5,15408,53.2,49.0,7.0,10117,23.2,22.1,4.9,7342,7.9,7.9,0.0,88204,74.0,65.7,9.9,19266,58.1,42.7,26.4
"Hickory-Lenoir-Morganton, NC",310M200US25860,292856,60.2,53.4,11.2,19094,38.6,28.9,25.2,22070,73.6,60.2,18.1,88680,80.8,71.2,11.8,54676,77.8,71.3,8.3,49383,59.5,55.1,7.4,34644,22.5,20.4,9.3,24309,5.1,4.7,7.3,214809,74.4,66.4,10.7,34733,49.5,31.4,36.5
"Hilton Head Island-Bluffton-Beaufort, SC",310M200US25940,158172,59.5,50.7,8.4,9242,49.5,25.6,25.7,14215,84.0,57.0,15.3,45443,84.9,73.4,7.1,22044,79.5,71.8,9.3,25980,57.4,55.3,3.6,25396,21.8,20.5,5.6,15852,6.3,6.0,5.5,107682,77.1,66.5,8.0,13875,64.9,49.0,24.0
"Hinesville, GA",310M200US25980,58794,67.4,48.4,14.0,4262,35.2,18.8,33.1,9106,80.5,42.0,23.3,23627,80.0,55.9,14.1,9253,77.9,67.9,8.4,6969,56.7,52.9,5.8,3752,18.1,15.8,12.5,1825,2.2,1.7,22.5,48955,76.4,55.2,13.3,6949,54.9,35.1,34.0
"Homosassa Springs, FL",310M200US26140,121340,42.0,36.1,14.1,5608,39.8,22.3,44.1,5581,73.7,57.1,22.3,22100,76.2,65.1,14.5,18075,71.6,63.6,11.2,23023,46.1,41.9,9.1,25529,13.7,12.5,8.5,21424,3.5,3.0,14.3,68779,64.7,56.3,13.0,13018,49.3,28.6,42.0
"Hot Springs, AR",310M200US26300,78887,54.8,49.3,10.0,4489,40.2,29.1,27.5,5457,75.6,65.6,13.2,21380,81.7,72.2,11.6,13161,71.5,65.3,8.4,13774,55.5,53.0,4.6,11266,19.1,18.0,5.7,9360,6.6,6.5,1.8,53772,71.9,64.9,9.6,11686,48.7,33.0,32.1
"Houma-Thibodaux, LA",310M200US26380,163141,60.5,56.2,6.9,11548,36.4,27.6,24.3,15454,73.4,64.1,12.3,54705,78.6,73.6,6.1,30801,72.2,69.2,4.1,24672,55.8,53.0,5.0,15215,23.5,22.8,3.1,10746,5.3,5.1,3.4,125632,71.9,67.3,6.2,18267,44.0,33.3,24.3
"Houston-The Woodlands-Sugar Land, TX",310M200US26420,4687175,67.4,62.1,7.7,350479,32.6,24.2,25.8,428312,72.8,62.7,13.7,1827326,81.6,75.9,6.9,841048,80.3,75.7,5.6,667970,66.5,62.9,5.5,347856,30.3,28.5,5.7,224184,7.0,6.6,4.7,3764656,77.6,72.1,7.1,505418,56.1,42.8,23.8
"Huntington-Ashland, WV-KY-OH",310M200US26580,294837,53.3,48.8,8.3,18546,31.9,24.4,23.5,23331,71.1,60.0,15.6,90549,75.1,68.4,8.8,51197,68.4,64.8,5.2,50604,48.8,47.0,3.8,34143,16.5,15.8,4.0,26467,4.5,4.2,7.6,215681,66.9,61.6,7.8,38994,39.2,28.4,27.7
"Huntsville, AL",310M200US26620,342660,64.5,58.1,9.4,23610,36.9,24.8,31.1,29672,78.1,62.2,19.2,113971,82.2,74.7,8.5,67787,79.4,74.0,6.4,52031,61.7,58.5,5.2,31916,24.7,23.3,5.8,23673,6.8,6.4,6.0,263461,77.0,69.9,8.6,31974,60.2,41.8,30.4
"Idaho Falls, ID",310M200US26820,97064,64.9,60.8,6.2,7859,48.7,38.3,21.4,7902,78.0,71.9,7.9,35127,78.2,74.3,5.0,16242,80.6,76.3,5.3,14615,66.3,63.8,3.7,8648,25.5,23.9,6.1,6671,7.9,7.6,4.2,73886,76.4,72.4,5.2,8522,56.9,48.0,15.6
"Indianapolis-Carmel-Anderson, IN",310M200US26900,1491093,67.4,61.4,8.9,101935,40.2,29.2,27.2,123322,77.1,65.5,14.9,537356,84.4,77.4,8.0,276959,82.2,76.2,7.2,224670,66.3,62.4,5.9,127928,25.4,23.8,6.2,98923,7.0,6.6,6.4,1162307,79.6,73.0,8.2,151248,56.4,38.6,31.6
"Iowa City, IA",310M200US26980,129341,70.6,67.8,3.8,11367,39.6,34.5,12.9,22715,72.3,68.2,5.6,43691,86.7,83.7,3.1,18032,87.7,85.1,3.0,17163,75.9,74.5,1.8,8877,34.5,33.9,1.6,7496,7.6,7.6,0.0,101601,81.8,78.9,3.4,18219,59.1,53.5,9.6
"Ithaca, NY",310M200US27060,89078,58.8,55.4,5.8,12753,29.8,24.5,17.8,17789,52.7,48.8,7.5,23525,79.4,75.1,5.3,11602,83.9,81.3,3.0,11657,71.2,68.7,3.5,6515,32.6,31.1,4.6,5237,7.5,7.3,2.8,64573,71.4,67.8,4.9,14665,38.1,33.1,13.2
"Jackson, MI",310M200US27100,128260,57.6,50.8,11.8,8764,40.0,28.0,30.0,10541,72.8,58.1,20.2,39060,74.2,65.3,11.7,24136,74.3,68.2,8.1,21786,58.5,53.7,8.2,13064,19.4,18.0,6.8,10909,4.7,4.6,0.6,95523,70.5,62.6,11.1,13978,52.7,31.8,39.5
"Jackson, MS",310M200US27140,445257,62.1,56.4,9.1,33202,30.0,19.0,36.6,41072,66.8,53.7,19.6,155844,80.6,73.7,8.3,78194,77.5,73.4,5.2,68133,60.2,57.0,5.3,39189,25.2,24.5,3.0,29623,6.9,6.4,6.1,343243,74.2,67.9,8.3,58097,51.3,35.3,31.2
"Jackson, TN",310M200US27180,103371,59.9,53.5,10.6,8666,37.4,24.1,35.7,9750,67.9,54.7,19.0,31795,79.6,72.2,9.1,17944,77.6,71.7,7.6,16342,60.4,56.8,6.0,10583,24.6,23.1,6.0,8291,4.3,3.8,11.9,75831,73.5,66.5,9.4,13076,50.1,35.0,30.2
"Jacksonville, FL",310M200US27260,1097446,64.4,56.5,10.6,72219,34.6,23.9,29.9,96254,75.6,59.0,17.2,370816,83.2,72.8,10.0,202250,80.0,73.0,8.3,174303,62.0,57.2,7.8,106625,24.6,22.9,7.2,74979,5.4,5.0,7.1,843623,77.2,68.1,10.0,115647,53.4,33.1,37.7
"Jacksonville, NC",310M200US27340,140005,70.3,42.5,12.3,11182,60.1,22.0,34.9,32789,84.6,29.2,20.6,51292,78.9,50.4,10.5,16828,78.0,69.4,8.2,13403,60.3,57.5,4.4,8590,21.4,20.2,5.3,5921,7.8,7.8,0.0,114312,78.2,47.9,11.2,13459,54.6,33.6,33.4
"Janesville-Beloit, WI",310M200US27500,125740,66.2,59.9,9.4,8349,52.6,39.9,24.2,9906,78.8,64.0,18.6,40540,85.5,78.0,8.7,23564,85.2,79.2,7.0,20447,64.4,60.6,6.0,12337,20.9,20.1,4.1,10597,5.5,5.0,9.6,94457,80.1,73.1,8.8,12379,59.5,40.9,31.3
"Jefferson City, MO",310M200US27620,119725,61.6,58.1,5.4,8607,39.2,31.7,19.0,10121,63.8,58.1,8.9,39214,79.2,74.9,5.1,22280,80.1,77.2,3.4,19157,61.9,59.5,4.0,11464,22.7,21.9,3.5,8882,5.9,5.5,5.4,90772,74.1,70.3,4.8,10217,50.5,38.0,24.6
"Johnson City, TN",310M200US27740,164785,57.2,52.8,7.5,9956,39.6,33.0,16.7,15785,73.8,66.0,10.5,49611,79.1,73.2,7.3,28029,75.2,70.4,6.3,27106,53.0,49.7,6.1,19779,17.7,17.1,3.6,14519,3.3,3.2,3.4,120531,71.6,66.3,7.3,23118,49.3,38.2,22.4
"Johnstown, PA",310M200US27780,116649,55.4,50.5,8.8,7304,35.9,23.8,33.8,9106,66.2,54.7,17.2,31108,79.0,71.8,8.7,20269,76.4,71.9,5.7,21483,59.2,56.2,5.0,13543,19.5,18.7,4.2,13836,4.5,4.4,1.9,81966,71.7,65.9,8.0,10775,45.0,30.8,31.5
"Jonesboro, AR",310M200US27860,96873,60.9,55.5,8.8,7428,34.7,25.4,26.9,10444,71.9,60.3,16.2,33071,80.6,74.1,8.1,15545,75.6,71.2,5.8,14011,58.5,56.1,4.1,9415,21.2,20.4,3.8,6959,4.4,4.1,6.2,73071,74.1,68.0,8.1,14330,53.6,37.6,29.8
"Joplin, MO",310M200US27900,135726,64.0,59.2,7.3,9411,49.7,41.7,15.0,12114,83.7,73.6,12.1,44302,82.8,77.1,6.7,23332,78.8,74.0,6.0,21068,62.0,58.4,5.8,14173,23.7,23.0,3.0,11326,5.7,5.4,4.8,100816,77.6,72.0,7.1,15554,54.2,38.6,28.8
"Kahului-Wailuku-Lahaina, HI",310M200US27980,126727,68.8,62.7,8.7,7218,43.2,29.0,32.8,8673,80.5,66.4,16.4,42409,85.9,78.7,8.0,23560,84.9,78.8,7.1,22657,69.5,65.9,5.2,13099,32.4,30.7,5.4,9111,7.8,7.6,2.8,97299,81.4,74.6,8.0,10406,54.4,36.9,32.1
"Kalamazoo-Portage, MI",310M200US28020,263709,64.2,57.6,10.1,20514,43.0,30.4,29.5,35030,78.3,66.7,14.9,79899,83.7,76.2,8.8,43329,79.5,73.7,7.3,41006,62.3,57.9,7.0,24010,21.4,20.4,4.9,19921,4.7,4.5,4.1,199264,77.4,70.2,9.2,37652,59.1,43.3,26.7
"Kankakee, IL",310M200US28100,88144,63.1,56.4,10.5,6717,39.1,28.0,28.3,8318,71.4,61.7,13.6,27573,84.6,75.4,10.6,15635,80.7,73.5,9.0,14069,61.3,57.5,6.3,8533,24.1,22.9,5.1,7299,5.8,5.4,7.0,65595,77.0,69.4,9.8,9276,54.7,35.3,35.4
"Kansas City, MO-KS",310M200US28140,1582217,68.5,63.3,7.4,103602,45.1,34.7,22.9,121390,80.6,70.3,12.6,560376,85.8,79.9,6.4,291459,83.2,78.2,6.0,248160,67.9,64.1,5.7,142373,28.2,26.8,5.0,114857,6.7,6.4,4.1,1221385,81.0,75.3,6.8,136978,55.7,39.8,28.6
"Kennewick-Richland, WA",310M200US28420,196930,64.4,59.6,7.3,14899,34.2,26.9,21.5,17902,75.0,64.6,13.6,71130,79.8,74.2,6.9,33787,80.8,76.8,4.9,30073,66.3,63.4,4.4,17169,21.3,20.5,4.1,11970,5.0,4.4,11.6,152892,76.8,71.5,6.8,19093,56.4,45.8,18.7
"Killeen-Temple, TX",310M200US28660,313229,64.5,49.7,9.5,22284,41.7,26.3,27.4,39938,79.3,45.9,14.2,125270,76.9,57.0,9.6,48884,75.5,69.1,5.7,37481,58.9,55.7,5.2,23044,22.0,20.7,5.6,16328,4.9,4.7,4.5,251573,74.3,57.4,8.7,28626,52.9,35.8,30.2
"Kingsport-Bristol-Bristol, TN-VA",310M200US28700,253574,55.9,50.8,9.1,14374,42.8,30.7,28.1,17195,73.9,60.3,18.3,72479,79.1,72.1,8.8,45823,73.2,68.1,6.9,44619,53.9,51.2,5.0,33829,19.7,18.7,5.1,25255,5.1,5.0,2.1,180116,70.9,64.8,8.5,28226,45.2,30.3,32.9
"Kingston, NY",310M200US28740,151331,63.1,56.6,10.2,10296,45.0,28.9,35.7,12802,71.6,60.3,15.2,43050,79.8,71.7,10.0,29433,80.7,75.7,6.1,26517,65.6,60.7,7.5,16231,32.2,29.5,8.4,13002,7.3,7.0,3.9,111802,75.7,68.9,8.9,14166,43.3,30.1,30.5
"Knoxville, TN",310M200US28940,687456,59.4,54.5,8.2,43739,38.0,29.4,22.7,62270,70.2,61.1,12.8,211673,80.8,74.0,8.1,120808,75.3,70.6,6.3,113847,59.5,56.4,5.2,77846,19.5,18.7,4.3,57273,5.3,5.0,5.2,508598,73.4,67.7,7.7,79446,45.7,32.3,29.3
"Kokomo, IN",310M200US29020,66093,59.2,53.1,10.3,4337,44.5,32.7,26.5,4880,79.7,64.7,18.9,19355,82.4,72.3,12.0,11997,77.0,72.2,6.2,11269,53.6,51.5,3.8,7881,22.0,21.3,3.4,6374,5.7,5.7,0.0,47501,73.9,66.6,9.8,8298,56.8,39.3,30.9
"La Crosse-Onalaska, WI-MN",310M200US29100,110356,68.8,64.9,5.6,9339,51.5,43.8,15.1,13880,78.8,73.8,6.3,31930,89.7,84.4,5.8,18272,87.3,83.9,3.9,17148,72.6,70.2,3.4,10090,25.2,23.6,6.2,9697,6.1,6.1,0.2,81230,83.7,79.5,5.0,11629,64.2,55.8,13.0
"Lafayette, LA",310M200US29180,368655,64.5,59.4,7.7,25882,38.0,27.4,27.7,36699,77.3,66.3,14.1,127199,82.3,76.4,7.0,66377,75.4,71.6,5.0,56239,61.0,58.5,4.0,31901,27.5,26.6,3.6,24358,6.9,6.7,2.8,286514,75.9,70.5,7.0,44685,53.8,39.8,26.1
"Lafayette-West Lafayette, IN",310M200US29200,167898,62.9,58.1,7.6,16471,31.5,24.4,22.7,33939,59.6,53.0,11.1,51223,83.2,77.4,6.7,22969,84.9,81.0,4.5,20927,68.4,65.3,4.5,12325,24.7,23.8,3.7,10044,6.4,6.1,4.5,129058,74.9,69.7,6.9,27608,50.1,40.0,20.0
"Lake Charles, LA",310M200US29340,156960,61.7,56.1,8.8,11159,36.8,28.2,23.4,14881,73.5,59.7,18.6,51089,80.2,73.7,7.9,28049,75.6,70.7,6.4,25178,60.1,57.2,4.8,15209,24.4,23.1,5.5,11395,6.4,6.2,3.7,119197,74.0,67.8,8.3,18209,52.9,37.9,28.3
"Lake Havasu City-Kingman, AZ",310M200US29420,167761,46.9,40.1,14.3,8857,40.6,29.0,28.6,10107,71.8,55.7,22.4,38849,70.6,60.6,14.0,27123,70.0,61.4,12.3,32104,49.4,43.6,11.6,30261,14.7,13.2,10.6,20460,5.2,4.7,9.9,108183,64.2,55.3,13.9,21626,48.2,29.9,37.9
"Lakeland-Winter Haven, FL",310M200US29460,491189,55.9,49.2,11.9,31966,31.0,21.5,30.6,39132,71.0,56.3,20.5,147898,80.1,70.9,11.4,79795,74.6,67.5,9.5,76574,57.3,52.5,8.3,65143,18.9,17.2,8.9,50681,5.3,4.9,7.4,343399,72.7,64.4,11.4,56322,52.5,32.0,39.1
"Lancaster, PA",310M200US29540,412775,66.6,62.1,6.7,29915,51.8,41.3,20.1,35435,78.8,71.1,9.7,126196,84.2,79.1,5.8,73146,84.3,79.4,5.8,65558,71.6,68.3,4.7,41998,31.8,30.6,3.9,40527,8.0,7.7,3.0,300335,80.8,75.9,6.1,27879,54.4,40.8,25.1
"Lansing-East Lansing, MI",310M200US29620,378776,63.5,57.5,9.4,34360,39.1,30.2,22.9,51689,71.3,62.7,12.1,113392,84.0,75.8,9.5,62061,81.8,76.5,6.4,58481,61.3,57.5,6.1,33443,21.3,20.0,6.0,25350,5.5,5.1,7.8,285623,76.6,69.8,8.7,51929,57.4,43.9,23.4
"Laredo, TX",310M200US29700,179164,58.2,54.3,6.7,18515,26.0,19.0,26.8,20098,61.2,53.0,13.4,70516,72.7,69.1,5.0,28386,73.1,70.0,4.3,20412,56.8,54.7,3.8,12174,25.3,24.3,4.0,9063,4.7,4.5,4.9,139412,68.8,64.9,5.8,35454,49.4,43.3,12.3
"Las Cruces, NM",310M200US29740,163412,62.2,54.1,12.2,14463,39.3,23.3,40.5,21683,76.9,61.0,18.3,50681,80.8,71.3,10.8,25390,76.5,70.7,7.5,23127,61.8,58.0,6.1,15805,24.1,22.6,6.3,12263,5.7,5.5,4.0,120881,75.6,66.8,10.7,28935,65.7,47.8,27.2
"Las Vegas-Henderson-Paradise, NV",310M200US29820,1570602,65.9,57.5,12.1,102491,34.2,22.6,33.7,135237,78.3,63.5,17.3,586751,83.0,73.5,10.6,271300,80.1,71.4,10.6,227736,63.9,57.3,10.3,152877,24.7,21.9,11.3,94210,7.3,6.1,16.6,1221024,78.3,68.9,11.3,170201,56.5,36.5,35.4
"Lawrence, KS",310M200US29940,94239,69.7,64.9,6.7,9197,36.8,27.6,24.9,20917,70.1,65.0,7.2,29916,87.1,81.9,5.7,12077,88.0,82.8,5.8,11260,75.6,72.1,4.6,6072,32.6,32.1,1.7,4800,9.9,9.9,0.0,74170,80.7,75.8,5.9,15180,64.9,57.0,12.3
"Lawton, OK",310M200US30020,102471,64.7,50.0,9.4,7921,56.5,26.4,27.7,12741,78.2,45.8,16.0,37842,77.6,58.6,9.7,16401,73.3,67.8,5.2,13178,62.1,59.3,4.1,8047,23.8,23.4,1.8,6341,6.4,5.5,13.3,80162,74.3,58.6,8.6,11661,54.5,37.3,30.7
"Lebanon, PA",310M200US30140,107540,64.9,59.7,7.8,6785,49.2,38.8,21.1,8150,77.1,65.5,14.9,31753,86.2,79.0,7.9,19101,84.6,80.8,4.1,17959,70.2,66.5,5.2,12286,25.8,24.2,6.4,11506,7.1,6.5,7.8,76963,81.1,75.1,7.1,7379,54.0,38.2,29.3
"Lewiston, ID-WA",310M200US30300,49946,60.5,56.2,7.1,2986,48.1,35.1,27.1,4133,87.2,76.1,12.7,14118,83.7,78.2,6.5,8459,80.7,77.8,3.7,8563,58.2,56.0,3.7,6120,20.1,19.8,1.3,5567,5.7,4.7,18.4,35273,77.2,72.5,6.1,4255,54.9,41.4,24.6
"Lewiston-Auburn, ME",310M200US30340,86084,65.7,59.7,8.9,5452,50.1,38.2,23.7,6821,79.7,67.7,14.4,26827,84.0,76.3,8.9,16443,83.3,77.3,7.0,14460,66.3,63.0,5.0,8774,24.9,23.4,5.9,7307,5.5,5.4,1.7,64551,79.4,72.7,8.3,9126,46.7,29.8,36.3
"Lexington-Fayette, KY",310M200US30460,386496,67.5,62.0,8.1,26619,45.0,34.8,22.6,43795,75.7,66.2,12.5,136018,84.4,77.8,7.7,65965,80.1,75.3,6.1,56980,64.9,61.4,5.3,32784,29.0,27.9,3.5,24335,7.3,6.9,6.3,302758,78.5,72.5,7.6,50306,56.8,42.6,25.0
"Lima, OH",310M200US30620,83535,62.3,55.4,11.1,6310,56.0,37.0,33.9,7949,81.7,65.8,19.5,24598,80.9,72.9,9.5,14526,77.9,71.5,7.9,14111,61.5,58.6,4.8,8416,20.4,19.4,4.9,7625,5.8,5.8,1.3,61184,75.8,68.4,9.6,9614,56.6,37.6,33.5
"Lincoln, NE",310M200US30700,246271,71.8,67.5,5.9,19712,50.6,41.0,19.0,34130,81.3,73.4,9.7,82461,86.9,82.5,4.6,38128,87.3,83.5,4.2,35513,75.0,72.5,3.3,19614,32.3,31.3,3.0,16713,7.6,7.5,1.3,190232,83.7,79.2,5.2,27070,66.8,52.6,21.3
"Little Rock-North Little Rock-Conway, AR",310M200US30780,561753,64.7,59.2,7.5,36446,38.2,28.5,24.6,52494,76.7,65.2,12.7,198447,83.1,75.9,7.3,95802,78.7,74.6,5.0,85989,61.0,58.5,4.1,53628,26.0,25.1,3.4,38947,6.6,6.2,5.9,432732,77.0,70.8,6.9,59598,51.9,37.7,27.3
"Logan, UT-ID",310M200US30860,91994,68.4,64.0,6.4,9441,49.2,36.3,26.0,16661,80.4,75.0,6.8,33081,79.4,75.8,4.4,11720,84.4,80.8,4.1,10061,69.8,67.2,3.6,6000,24.1,23.2,3.7,5030,4.5,4.5,1.8,71523,79.1,75.2,4.8,11578,67.7,59.1,12.7
"Longview, TX",310M200US30980,169231,59.3,55.2,6.7,12118,39.6,29.9,24.4,14869,71.5,65.2,8.8,54858,75.4,70.2,6.9,29356,73.2,70.3,4.0,26768,62.2,59.5,4.3,16948,26.0,24.9,4.2,14314,6.2,6.0,3.8,125851,71.7,67.4,6.0,18145,49.7,39.1,21.2
"Longview, WA",310M200US31020,80913,56.6,48.8,13.5,5143,39.2,24.1,38.7,6017,75.5,54.8,27.0,23814,78.8,69.1,12.0,14243,73.0,64.5,11.6,14561,55.3,51.3,7.2,9935,17.6,16.3,7.8,7200,3.1,3.1,0.0,58635,71.2,62.1,12.6,10488,48.4,29.1,39.9
"Los Angeles-Long Beach-Anaheim, CA",310M200US31080,10357620,65.1,58.2,10.5,753148,26.8,17.1,36.2,1002991,69.9,57.9,17.0,3802840,82.3,74.6,9.3,1832225,80.7,74.0,8.3,1434361,66.2,60.5,8.5,838165,28.1,25.9,8.0,693890,6.4,6.0,6.3,8072417,77.5,69.9,9.8,1201370,54.2,38.9,28.1
"Louisville/Jefferson County, KY-IN",310M200US31140,992592,65.4,59.5,8.9,62371,42.5,32.4,23.8,79014,81.1,69.2,14.6,333125,84.4,76.8,8.7,184535,80.0,74.6,6.7,163324,62.2,58.3,6.2,96070,24.8,23.6,4.9,74153,6.1,5.7,6.3,759998,78.2,71.5,8.4,100391,54.1,36.1,33.2
"Lubbock, TX",310M200US31180,233306,66.3,62.0,6.5,20693,43.4,33.3,23.2,37030,71.9,64.6,10.2,75805,83.2,78.9,5.1,34840,81.9,78.8,3.6,30393,66.6,64.0,3.9,18707,31.7,30.7,3.2,15838,8.9,8.6,2.8,178068,77.8,73.4,5.6,34464,58.3,48.8,16.3
"Lynchburg, VA",310M200US31340,209268,60.3,55.5,7.8,16685,37.0,26.2,29.2,23254,69.4,59.0,14.8,57073,83.3,76.9,7.2,35961,79.2,75.0,5.0,34052,62.7,60.9,2.9,23973,22.5,21.9,2.4,18270,6.1,6.0,2.3,150340,75.5,70.1,6.9,22693,51.2,38.6,24.7
"Macon, GA",310M200US31420,181367,56.4,49.6,11.9,13799,27.8,17.9,35.5,15629,65.0,50.4,22.6,57370,77.5,68.3,11.8,32396,73.2,66.6,9.1,30114,52.1,48.8,6.2,18463,20.4,19.5,4.6,13596,5.1,5.0,2.4,135509,69.4,61.5,11.3,27444,49.1,31.4,36.1
"Madera, CA",310M200US31460,114471,50.8,45.9,9.5,9315,20.6,15.3,25.9,11265,61.8,50.1,18.8,40185,64.3,58.9,8.3,18725,65.8,61.8,6.1,16556,52.9,48.7,7.8,10728,18.3,17.1,6.4,7697,4.8,4.5,5.2,86731,62.1,56.4,9.1,15826,40.9,32.9,19.6
"Madison, WI",310M200US31540,500162,72.5,68.5,5.5,33639,47.8,40.0,16.5,56295,79.5,73.0,8.1,173555,89.1,84.8,4.7,86403,88.5,84.5,4.5,76281,73.0,69.9,4.4,41133,30.5,29.3,3.9,32856,7.9,7.7,2.9,392534,84.5,80.1,5.0,49265,62.6,51.3,18.0
"Manchester-Nashua, NH",310M200US31700,323150,70.9,66.1,6.7,21434,50.8,40.4,20.4,24924,81.7,72.0,11.8,104697,85.9,80.7,5.9,67333,86.2,81.8,5.1,52972,74.7,70.9,5.1,29024,31.1,29.5,4.9,22766,5.8,5.6,4.3,249926,83.2,78.1,6.1,19285,51.3,34.5,32.8
